dataset	run_id	mag_id	annotated_cds_count	non_hypothetical_cds_count	key_products_top5	key_ec_top5	key_cog_top5	source_report
Spongia	run_MAGs-Maor_id95-vsearch	CAXXDD01	2554	897	putative protein (n=17) | Dipeptidyl-peptidase 5 (n=9) | Glutamyl-tRNA(Gln) amidotransferase subunit A (n=5) | Glutathione hydrolase-like YwrD proenzyme (n=4) | Putative transposase InsK for insertion sequence element IS150 (n=3)	3.1.-.- (n=15) | 3.4.14.- (n=10) | 7.1.1.- (n=8) | 7.6.2.- (n=8) | 3.5.1.- (n=7)	COG0823 (n=12) | COG0405 (n=7) | COG1373 (n=6) | COG1028 (n=5) | COG0436 (n=5)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CAXXOI01	98	48	Cyclopentanol dehydrogenase (n=6) | L-lactate transporter (n=2) | 2-iminobutanoate/2-iminopropanoate deaminase (n=1) | 17-hydroxy-3-oxo-4-pregnene-20-carboxyl-CoA lyase (n=1) | 4-hydroxyprotoasukamycin monooxygenase (n=1)	1.1.1.163 (n=6) | 1.2.4.4 (n=2) | 5.6.2.2 (n=1) | 3.5.99.10 (n=1) | 4.1.3.- (n=1)	COG2223 (n=2) | COG0187 (n=1) | COG0251 (n=1) | COG0183 (n=1) | COG0493 (n=1)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CAXXON01	2893	1072	putative protein (n=21) | L-lactate transporter (n=15) | Alkanal monooxygenase alpha chain (n=11) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=11) | Oxygen-dependent choline dehydrogenase (n=9)	1.1.1.- (n=13) | 1.1.1.100 (n=12) | 1.14.14.3 (n=11) | 3.1.-.- (n=11) | 2.2.1.6 (n=10)	COG1028 (n=20) | COG2223 (n=15) | COG2141 (n=15) | COG1804 (n=10) | COG1024 (n=10)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CAXXRU01	1036	556	High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=5) | 4-methylaminobutanoate oxidase (formaldehyde-forming) (n=5) | High-affinity branched-chain amino acid transport system permease protein LivH (n=4) | Glycine betaine methyltransferase (n=4) | Gamma-aminobutyric acid-binding protein (n=4)	3.1.-.- (n=8) | 1.5.3.19 (n=5) | 7.5.2.- (n=4) | 1.-.-.- (n=4) | 2.1.1.376 (n=4)	COG0583 (n=5) | COG0410 (n=5) | COG3842 (n=4) | COG1177 (n=4) | COG4663 (n=4)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBMQ01	377	126	Putative nuclease YhcG (n=2) | Ulvan-active sulfatase (n=2) | Gluconolactonase (n=2) | Chaperone MoxR1 (n=2) | N-acetylmuramic acid 6-phosphate etherase (n=1)	3.1.-.- (n=3) | 3.1.6.- (n=2) | 6.1.1.20 (n=2) | 3.1.1.17 (n=2) | 4.2.1.33 (n=2)	COG4804 (n=2) | COG3119 (n=2) | COG0714 (n=2) | COG3386 (n=2) | COG2030 (n=1)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBNE01	315	83	Single-stranded DNA-binding protein (n=4) | Protein TraC (n=3) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=2) | Caffeine dehydrogenase subunit alpha (n=2) | putative HTH-type transcriptional regulator YbaQ (n=2)	1.17.5.2 (n=4) | 1.14.13.- (n=2) | 7.5.2.- (n=2) | 4.1.2.32 (n=2) | 1.8.4.- (n=2)	COG0410 (n=2) | COG1137 (n=2) | COG0559 (n=2) | COG0404 (n=2) | COG0625 (n=2)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBNP01	905	287	L-lactate transporter (n=9) | putative protein (n=8) | Cyclopentanol dehydrogenase (n=6) | Oxygen-dependent choline dehydrogenase (n=6) | Alkanal monooxygenase alpha chain (n=5)	1.1.99.1 (n=6) | 1.1.1.163 (n=6) | 1.14.14.3 (n=5) | 2.8.3.- (n=5) | 2.1.1.72 (n=4)	COG2223 (n=9) | COG2141 (n=7) | COG2303 (n=6) | COG1028 (n=5) | COG1804 (n=5)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBNQ01	2414	968	putative protein YagA (n=25) | putative protein (n=13) | Putative transposase InsK for insertion sequence element IS150 (n=7) | Endoribonuclease HigB (n=5) | Toxin HigB-1 (n=4)	3.1.-.- (n=26) | 7.1.1.- (n=23) | 2.1.1.72 (n=6) | 3.4.-.- (n=5) | 3.4.24.- (n=5)	COG2801 (n=32) | COG3093 (n=7) | COG1373 (n=6) | COG1028 (n=4) | COG2204 (n=4)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBNY01	3418	1196	putative protein (n=22) | Dipeptidyl-peptidase 5 (n=14) | Glutathione hydrolase proenzyme (n=8) | Macrolide export ATP-binding/permease protein MacB (n=7) | N-acyl-D-glutamate deacylase (n=7)	3.1.-.- (n=26) | 3.4.14.- (n=15) | 7.6.2.- (n=14) | 7.1.1.- (n=9) | 3.4.19.13 (n=8)	COG0823 (n=15) | COG0405 (n=11) | COG3653 (n=11) | COG1373 (n=10) | COG1028 (n=10)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
Spongia	run_MAGs-Maor_id95-vsearch	CBDBOF01	4928	2049	putative protein (n=76) | Alkanal monooxygenase alpha chain (n=31) | Putative coenzyme F420-dependent oxidoreductase (n=18) | Caprolactamase subunit alpha (n=15) | Cyclohexanol dehydrogenase (n=15)	1.3.99.- (n=34) | 3.5.2.- (n=33) | 1.14.14.3 (n=31) | 1.-.-.- (n=30) | 3.1.-.- (n=28)	COG2141 (n=68) | COG1960 (n=42) | COG1024 (n=39) | COG1028 (n=30) | COG1804 (n=22)	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/run_MAGs-Maor_id95-vsearch/cosmic_llm_report.md
