metabarcoding_id	sequence_length_bp	mag_id	contig	rrna_hit	identity_percent	function_source	key_functions_top5	mag_products_top5	mag_ec_top5	mag_cog_top5	heatwave - dying	heatwave-no sings of necrosis	pre-heatwave- healthy	post heatwave- healthy	heatwave-showing sings of necrosis	source_report
002e15edda344d5bda2741f640428bba	1312	GCA_965208435.1	ENA|OZ242337|OZ242337.1	GCA_965208435.1|ENA|OZ242337|OZ242337.1|16S|3130846-3132350	98.70	mag_products_top	putative protein (n=45) | Acyl-CoA dehydrogenase IpdE1 (n=9) | Putative acyl-CoA dehydrogenase FadE17 (n=7) | Long-chain-fatty-acid--CoA ligase (n=6) | Putative coenzyme F420-dependent oxidoreductase (n=6)	putative protein (n=45) | Acyl-CoA dehydrogenase IpdE1 (n=9) | Putative acyl-CoA dehydrogenase FadE17 (n=7) | Long-chain-fatty-acid--CoA ligase (n=6) | Putative coenzyme F420-dependent oxidoreductase (n=6)	3.1.-.- (n=39) | 1.3.99.- (n=30) | 1.-.-.- (n=19) | 7.6.2.- (n=16) | 7.5.2.- (n=14)	COG1960 (n=30) | COG1028 (n=26) | COG1024 (n=23) | COG1373 (n=18) | COG2141 (n=16)	0.0034	0.0107	0.0016	0.0010	0.0050	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
00b4944194347141ab54cf7b44ab85cc	1328	GCA_963664635.1	ENA|OY761542|OY761542.1	GCA_963664635.1|ENA|OY761542|OY761542.1|16S|540214-541702	98.00	mag_products_top	putative protein (n=61) | Iron and copper transporter IacT (n=22) | Para-nitrobenzyl esterase (n=13) | Short-chain-enoyl-CoA hydratase (n=11) | Putative glycoside/cation symporter YagG (n=11)	putative protein (n=61) | Iron and copper transporter IacT (n=22) | Para-nitrobenzyl esterase (n=13) | Short-chain-enoyl-CoA hydratase (n=11) | Putative glycoside/cation symporter YagG (n=11)	3.1.-.- (n=49) | 1.3.99.- (n=28) | 3.1.1.- (n=24) | 1.1.1.- (n=21) | 1.-.-.- (n=19)	COG1028 (n=34) | COG1024 (n=33) | COG1960 (n=32) | COG4773 (n=22) | COG2141 (n=19)	0.0033	0.0049	0.0074	0.0019	0.0014	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
0a2c94dd8c1f4256bd8acdb5f733b9c3	1307	odSpoOffi2.metagenome.1.primary	ctg21634c	odSpoOffi2.metagenome.1.primary|ctg21634c|16S|2397598-2399103	97.40	contig_annotation_highlights	putative protein (n=34) | Methylxanthine N1-demethylase NdmA (n=19) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=16) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=9) | Oligopeptide transport ATP-binding protein OppD (n=8)				0.0011	0.0037	0.0057	0.0096	0.0080	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
0b6b05a574d824ca26de130f0b7fc098	1318	odSpoOffi2.metagenome.1.primary	ctg18072l	odSpoOffi2.metagenome.1.primary|ctg18072l|16S|1584-3087	97.60	contig_annotation_highlights	Aspartate-semialdehyde dehydrogenase 2 (n=1) | 3-isopropylmalate dehydrogenase (n=1) | Ethyl acetate hydrolase (n=1) | Glutamate--methylamine ligase (n=1) | Lactoylglutathione lyase (n=1)				0.0018	0.0056	0.0010	0.0000	0.0039	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
0bf5fde7b2b81d3c30a2b61480df48c4	1354	odSpoOffi2.metagenome.1.primary	ctg21660l	odSpoOffi2.metagenome.1.primary|ctg21660l|16S|5267184-5268733	96.50	contig_annotation_highlights	putative protein (n=34) | DNA-invertase hin (n=16) | putative protein YagA (n=13) | Succinate--glutarate CoA-transferase (n=12) | Beta sliding clamp (n=11)				0.0001	0.0079	0.0000	0.0018	0.0013	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
0cc719cf7b0ef49564d551966937f5e5	1341	GCA_963667115.1	ENA|OY763007|OY763007.1	GCA_963667115.1|ENA|OY763007|OY763007.1|16S|2503313-2504835	97.80	mag_products_top	putative protein YagA (n=18) | putative protein (n=11) | 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase (n=4) | Regulatory protein AtoC (n=4) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=3)	putative protein YagA (n=18) | putative protein (n=11) | 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase (n=4) | Regulatory protein AtoC (n=4) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=3)	7.1.1.- (n=23) | 3.1.-.- (n=10) | 3.4.24.- (n=5) | 3.4.-.- (n=5) | 3.4.21.107 (n=5)	COG2801 (n=19) | COG2204 (n=7) | COG0451 (n=5) | COG1028 (n=5) | COG0265 (n=5)	0.0000	0.0129	0.0000	0.0000	0.0034	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
0d1b2acf65175136acc154605763892b	1348	odSpoOffi2.metagenome.1.primary	ctg21525l	odSpoOffi2.metagenome.1.primary|ctg21525l|16S|1506673-1508214	98.40	contig_annotation_highlights	Quinohemoprotein alcohol dehydrogenase ADH-IIG (n=5) | Insertion sequence IS5376 putative ATP-binding protein (n=5) | putative protein (n=4) | Alcohol dehydrogenase (quinone), dehydrogenase subunit (n=4) | Glycerol dehydrogenase large subunit (n=4)				0.0031	0.0102	0.0185	0.0053	0.0146	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
1aac3c37430c41ce7be3e5506a7bed2d	1310	GCA_963667285.1	ENA|OY763326|OY763326.1	GCA_963667285.1|ENA|OY763326|OY763326.1|16S|307592-309078	98.80	mag_products_top	Insertion sequence IS5376 putative ATP-binding protein (n=60) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=56) | Solute-binding protein (n=31) | Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1 (n=25) | Caprolactamase subunit beta (n=21)	Insertion sequence IS5376 putative ATP-binding protein (n=60) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=56) | Solute-binding protein (n=31) | Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1 (n=25) | Caprolactamase subunit beta (n=21)	3.5.2.- (n=40) | 1.2.5.3 (n=33) | 1.14.14.- (n=31) | 3.1.-.- (n=28) | 1.5.99.14 (n=24)	COG1028 (n=47) | COG1638 (n=36) | COG1024 (n=27) | COG2141 (n=20) | COG0697 (n=19)	0.0002	0.0039	0.0051	0.0029	0.0072	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
1b2027ba171522439efdc957e62901bb	1358	odSpoOffi2.metagenome.1.primary	ctg21660l	odSpoOffi2.metagenome.1.primary|ctg21660l|16S|847820-849369	97.90	contig_annotation_highlights	putative protein (n=34) | DNA-invertase hin (n=16) | putative protein YagA (n=13) | Succinate--glutarate CoA-transferase (n=12) | Beta sliding clamp (n=11)				0.0024	0.0032	0.0071	0.0041	0.0081	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
1df81afe8e737164b07cc4f883e69710	1227	GCA_963668465.1	ENA|OY764542|OY764542.1	GCA_963668465.1|ENA|OY764542|OY764542.1|16S|1859603-1861090	98.10	mag_products_top	5,5'-dehydrodivanillate O-demethylase oxygenase subunit (n=35) | Phthalate 4,5-dioxygenase oxygenase subunit (n=23) | putative protein (n=14) | L-lactate transporter (n=14) | Gamma-resorcylate decarboxylase (n=10)	5,5'-dehydrodivanillate O-demethylase oxygenase subunit (n=35) | Phthalate 4,5-dioxygenase oxygenase subunit (n=23) | putative protein (n=14) | L-lactate transporter (n=14) | Gamma-resorcylate decarboxylase (n=10)	1.14.13.- (n=36) | 3.1.-.- (n=31) | 1.14.12.7 (n=23) | 1.-.-.- (n=22) | 1.1.1.- (n=17)	COG4638 (n=38) | COG1028 (n=26) | COG2159 (n=15) | COG2223 (n=15) | COG1529 (n=7)	0.0010	0.0038	0.0058	0.0121	0.0040	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
2a43577abd9b8372022468befc8eaef2	1331	CBDBNQ01	ENA|CBDBNQ010000002|CBDBNQ010000002.1	CBDBNQ01|ENA|CBDBNQ010000002|CBDBNQ010000002.1|16S|1073618-1075139	98.80	mag_products_top	putative protein YagA (n=25) | putative protein (n=13) | Putative transposase InsK for insertion sequence element IS150 (n=7) | Endoribonuclease HigB (n=5) | Toxin HigB-1 (n=4)	putative protein YagA (n=25) | putative protein (n=13) | Putative transposase InsK for insertion sequence element IS150 (n=7) | Endoribonuclease HigB (n=5) | Toxin HigB-1 (n=4)	3.1.-.- (n=26) | 7.1.1.- (n=23) | 2.1.1.72 (n=6) | 3.4.-.- (n=5) | 3.4.24.- (n=5)	COG2801 (n=32) | COG3093 (n=7) | COG1373 (n=6) | COG1028 (n=4) | COG2204 (n=4)	0.0057	0.0000	0.0121	0.0037	0.0000	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
2a5a2bdf04fd4d91329f95309c5ee145	1380	CBDBMQ01	ENA|CBDBMQ010000033|CBDBMQ010000033.1	CBDBMQ01|ENA|CBDBMQ010000033|CBDBMQ010000033.1|16S|81134-82650	97.80	mag_products_top	Putative nuclease YhcG (n=2) | Ulvan-active sulfatase (n=2) | Gluconolactonase (n=2) | Chaperone MoxR1 (n=2) | N-acetylmuramic acid 6-phosphate etherase (n=1)	Putative nuclease YhcG (n=2) | Ulvan-active sulfatase (n=2) | Gluconolactonase (n=2) | Chaperone MoxR1 (n=2) | N-acetylmuramic acid 6-phosphate etherase (n=1)	3.1.-.- (n=3) | 3.1.6.- (n=2) | 6.1.1.20 (n=2) | 3.1.1.17 (n=2) | 4.2.1.33 (n=2)	COG4804 (n=2) | COG3119 (n=2) | COG0714 (n=2) | COG3386 (n=2) | COG2030 (n=1)	0.0050	0.0157	0.0039	0.0027	0.0090	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
2bcd07cb66e5f473dec470a896258117	1359	odSpoOffi2.metagenome.1.primary	ctg21631c	odSpoOffi2.metagenome.1.primary|ctg21631c|16S|731418-732966	98.20	contig_annotation_highlights	Prophage integrase IntA (n=21) | Insertion element IS6110 uncharacterized 12.0 kDa protein (n=14) | putative protein (n=14) | Putative transposase InsK for insertion sequence element IS150 (n=13) | DNA primase TraC (n=8)				0.0122	0.0034	0.0028	0.0026	0.0056	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
34269cbbd5e49ad9fe354c4d1d68f8a0	1362	odSpoOffi2.metagenome.1.primary	ctg21493l	odSpoOffi2.metagenome.1.primary|ctg21493l|16S|249087-250630	97.50	contig_annotation_highlights	Iron and copper transporter IacT (n=8) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=5) | Putative anti-sigma factor antagonist BtrV (n=4) | Myo-inositol 2-dehydrogenase (n=4) | C4-dicarboxylate TRAP transporter large permease protein DctM (n=4)				0.0048	0.0089	0.0083	0.0028	0.0066	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
3938a8d99d5dc8bbefd67a1158a29a68	1510	odSpoOffi2.metagenome.1.primary	ctg21652l	odSpoOffi2.metagenome.1.primary|ctg21652l|16S|527863-529409	99.20	contig_annotation_highlights	RNA-guided DNA endonuclease TnpB (n=25) | Myo-inositol 2-dehydrogenase (n=13) | putative protein (n=11) | Arylsulfatase (n=11) | Macrolide export ATP-binding/permease protein MacB (n=11)				0.0012	0.0071	0.0029	0.0005	0.0059	/mnt/c/Users/maork/Documents/Papers/CoSMIC side kick/cosmic_llm_report_1112-ASVs.md
