dataset	mag_id	presence_class	v3v4_annotated_cds_count	v3v4_non_hypothetical_cds_count	v3v4_key_products_top5	v3v4_key_ec_top5	v3v4_key_cog_top5	full_annotated_cds_count	full_non_hypothetical_cds_count	full_key_products_top5	full_key_ec_top5	full_key_cog_top5
Agelas	CATQHB01	both	2777	1147	putative protein (n=21) | Gamma-resorcylate decarboxylase (n=11) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=10) | Oxygen-dependent choline dehydrogenase (n=8) | Alkanal monooxygenase alpha chain (n=8)	2.2.1.6 (n=14) | 7.1.1.- (n=13) | 4.1.1.103 (n=11) | 3.1.-.- (n=11) | 1.1.1.- (n=11)	COG1028 (n=20) | COG2141 (n=17) | COG0028 (n=13) | COG2159 (n=11) | COG0601 (n=9)	2777	1147	putative protein (n=21) | Gamma-resorcylate decarboxylase (n=11) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=10) | Oxygen-dependent choline dehydrogenase (n=8) | Alkanal monooxygenase alpha chain (n=8)	2.2.1.6 (n=14) | 7.1.1.- (n=13) | 4.1.1.103 (n=11) | 3.1.-.- (n=11) | 1.1.1.- (n=11)	COG1028 (n=20) | COG2141 (n=17) | COG0028 (n=13) | COG2159 (n=11) | COG0601 (n=9)
Agelas	CATQHF01	both	868	303	putative protein (n=6) | Cyclopentanol dehydrogenase (n=5) | L-lactate transporter (n=4) | Oxygen-dependent choline dehydrogenase (n=4) | 4-hydroxyprotoasukamycin monooxygenase (n=3)	7.1.1.- (n=7) | 2.1.1.72 (n=6) | 3.1.-.- (n=6) | 1.1.1.- (n=6) | 1.1.1.163 (n=5)	COG1028 (n=9) | COG4948 (n=5) | COG0601 (n=5) | COG2223 (n=4) | COG0444 (n=4)	868	303	putative protein (n=6) | Cyclopentanol dehydrogenase (n=5) | L-lactate transporter (n=4) | Oxygen-dependent choline dehydrogenase (n=4) | 4-hydroxyprotoasukamycin monooxygenase (n=3)	7.1.1.- (n=7) | 2.1.1.72 (n=6) | 3.1.-.- (n=6) | 1.1.1.- (n=6) | 1.1.1.163 (n=5)	COG1028 (n=9) | COG4948 (n=5) | COG0601 (n=5) | COG2223 (n=4) | COG0444 (n=4)
Agelas	CATQHL01	v3v4_only	2105	992	putative protein (n=12) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=9) | Caprolactamase subunit alpha (n=8) | Caprolactamase subunit beta (n=8) | Caffeine dehydrogenase subunit alpha (n=6)	7.1.1.- (n=18) | 3.5.2.- (n=17) | 7.6.2.- (n=11) | 1.1.1.100 (n=10) | 3.1.-.- (n=9)	COG1028 (n=18) | COG0318 (n=9) | COG3845 (n=7) | COG2141 (n=7) | COG1960 (n=7)					
Agelas	CATQHQ01	both	1466	644	Dipeptidyl-peptidase 5 (n=6) | L-threonine ammonia-lyase (n=5) | putative protein (n=5) | N-acetylmuramic acid 6-phosphate etherase (n=4) | Macrolide export ATP-binding/permease protein MacB (n=3)	7.1.1.- (n=9) | 3.1.-.- (n=7) | 7.6.2.- (n=7) | 3.4.14.- (n=6) | 3.5.1.- (n=5)	COG0823 (n=7) | COG1024 (n=6) | COG1473 (n=4) | COG1136 (n=4) | COG1595 (n=4)	1466	644	Dipeptidyl-peptidase 5 (n=6) | L-threonine ammonia-lyase (n=5) | putative protein (n=5) | N-acetylmuramic acid 6-phosphate etherase (n=4) | Macrolide export ATP-binding/permease protein MacB (n=3)	7.1.1.- (n=9) | 3.1.-.- (n=7) | 7.6.2.- (n=7) | 3.4.14.- (n=6) | 3.5.1.- (n=5)	COG0823 (n=7) | COG1024 (n=6) | COG1473 (n=4) | COG1136 (n=4) | COG1595 (n=4)
Agelas	CATQHS01	full_only						2922	1285	putative protein (n=22) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=8) | High-affinity branched-chain amino acid transport ATP-binding protein LivF (n=7) | Carbon monoxide dehydrogenase small chain (n=6) | Lipopolysaccharide export system ATP-binding protein LptB (n=5)	1.1.1.- (n=17) | 1.3.99.- (n=16) | 1.-.-.- (n=15) | 7.1.1.- (n=15) | 7.6.2.- (n=13)	COG1028 (n=29) | COG1960 (n=17) | COG0318 (n=10) | COG1024 (n=8) | COG4638 (n=7)
Agelas	CATQHW01	full_only						1374	525	Polygalacturonan/rhamnogalacturonan transport system permease protein YteP (n=11) | Polygalacturonan/rhamnogalacturonan transport system permease protein YtcP (n=9) | putative protein (n=8) | Periplasmic alpha-galactoside-binding protein (n=6) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=6)	3.1.-.- (n=12) | 1.-.-.- (n=8) | 7.6.2.- (n=8) | 1.1.1.- (n=8) | 1.1.1.100 (n=6)	COG4209 (n=11) | COG0747 (n=10) | COG0395 (n=10) | COG4948 (n=10) | COG0601 (n=9)
Agelas	GCA_958295495.1	full_only						5023	1514	putative protein (n=24) | D-galactonate dehydratase (n=14) | Arylsulfatase (n=11) | putative ABC transporter ATP-binding protein YknY (n=8) | Mannonate dehydratase (n=8)	3.1.-.- (n=29) | 1.1.1.- (n=24) | 7.6.2.- (n=22) | 4.2.1.6 (n=14) | 3.1.6.- (n=12)	COG4948 (n=41) | COG0673 (n=28) | COG3119 (n=28) | COG1028 (n=19) | COG5285 (n=13)
Agelas	GCA_958295525.1	full_only						2290	958	5,5'-dehydrodivanillate O-demethylase oxygenase subunit (n=21) | putative protein (n=14) | L-lactate transporter (n=11) | Phthalate 4,5-dioxygenase oxygenase subunit (n=11) | Putative 4,5-dihydroxyphthalate dehydrogenase (n=7)	1.14.13.- (n=21) | 1.-.-.- (n=14) | 7.1.1.- (n=13) | 3.1.-.- (n=12) | 1.14.12.7 (n=11)	COG4638 (n=22) | COG1028 (n=15) | COG2223 (n=11) | COG2159 (n=8) | COG0451 (n=7)
Agelas	GCA_958295535.1	both	2257	820	putative protein (n=11) | Dipeptidyl-peptidase 5 (n=6) | D-aminoacylase (n=5) | Protein (n=3) | Macrolide export ATP-binding/permease protein MacB (n=3)	7.6.2.- (n=12) | 3.1.-.- (n=8) | 7.1.1.- (n=8) | 3.4.14.- (n=7) | 3.4.24.- (n=5)	COG3653 (n=7) | COG1024 (n=7) | COG0823 (n=6) | COG0520 (n=5) | COG1028 (n=5)	2257	820	putative protein (n=11) | Dipeptidyl-peptidase 5 (n=6) | D-aminoacylase (n=5) | Protein (n=3) | Macrolide export ATP-binding/permease protein MacB (n=3)	7.6.2.- (n=12) | 3.1.-.- (n=8) | 7.1.1.- (n=8) | 3.4.14.- (n=7) | 3.4.24.- (n=5)	COG3653 (n=7) | COG1024 (n=7) | COG0823 (n=6) | COG0520 (n=5) | COG1028 (n=5)
Agelas	GCA_958295645.1	v3v4_only	2291	896	putative protein (n=13) | 3-oxoacyl-[acyl-carrier-protein] reductase FabG (n=6) | Acyl-CoA dehydrogenase (n=4) | RNA polymerase sigma factor SigA (n=4) | Chaperone MoxR1 (n=4)	7.6.2.- (n=11) | 3.1.-.- (n=10) | 7.1.1.- (n=8) | 1.1.1.100 (n=6) | 3.5.1.- (n=5)	COG1373 (n=7) | COG3653 (n=6) | COG1024 (n=5) | COG1960 (n=5) | COG0520 (n=5)					
